1;Неспроста;Москва;0
2;Афина;Москва;1
3;Команда Ильи Иткина;Москва;0
5;Команда Кузьмина;Москва;0
6;Китай-город;Москва;0
7;Ра;Москва;0
8;ЭМЛи 29;Ижевск;0
9;ГРМ-2;Санкт-Петербург;1
10;Яровит;Минск;0
11;Миллениум;Самара;0
12;Модерн;Самара;0
13;Дельта фи;Москва;1
14;СПС;Москва;0
15;У пичку;Москва;0
16;Умортерра;Москва;1
17;Spiro et spero;Екатеринбург;0
18;ВГ;Москва;0
20;ФБР;Курск;0
21;Кондор;Казань;1
22;Миранда;Одесса;0
23;16 тонн;Зеленоград;1
24;Команда Воробьёва;Москва;0
25;Димедрол;Санкт-Петербург;0
26;ЛКИ;Москва;1
27;Иллюзии;Москва;0
28;UN;Хайфа;0
29;ИНЖЭКОН;Санкт-Петербург;1
30;Эврика-СумГУ;Сумы;0
32;Дайте ей шанс;Москва;0
33;Пента;Долгопрудный;1
35;Самовар;Челябинск;0
36;Команда Хавина;Москва;0
37;Sixth Sense;Москва;0
39;Пилигрим;Новополоцк;1
40;По приколу;Витебск;0
41;Фантазия;Тбилиси;0
42;ШВ;Пермь;0
43;Буравчик;Санкт-Петербург;1
45;Антарес;Норильск;0
46;СБ;Симферополь;1
47;Снарк;Долгопрудный;1
49;Без тормозов;Выборг;0
51;ЛЭТИ;Санкт-Петербург;0
52;Фристайл;Самара;0
53;Анталлактика;Самара;1
54;Орион-ЯКХЗ;Нежин;0
55;МИРаж;Самара;1
57;Меридиан;Саранск;0
58;Anno Domini;Казань;1
59;Астрономическая единица;Челябинск;1
60;Signum;Москва;0
61;САМ;Киев;1
63;В-Ч-Ж;Санкт-Петербург;1
64;Кринн;Минск;0
66;Ультиматум;Гомель;1
67;Тыкводронты;Казань;1
68;Ушельцы;Лида;1
69;Деменция;Витебск;0
71;Рыба;Минск;0
72;Фунтики;Минск;1
74;Прощание Люцифера;Самара;0
75;Любимая;Самара;0
76;Дарджилинг;Самара;0
78;Экотех;Казань;0
79;Старики-разбойники;Санкт-Петербург;1
80;Flash;Днепропетровск;0
81;Эстакада;Новосибирск;0
83;МПС;Бердянск;0
84;Норманны;Мурманск;1
85;Сирин;Симферополь;1
86;Три обезьяны;Брест;1
87;Форум;Могилёв;1
88;Хатни Бусел;Гомель;1
89;Статус;Саранск;0
90;Болт;Винница;0
91;Стерх;Ковылкино;0
92;Кварта;Винница;0
93;Delirium Tremens;Москва;0
94;Коллектиум;Кременчуг;1
95;Академикс;Сумы;0
96;Команда Довженко;Москва;0
97;Абзац;Сумы;0
98;АК;Винница;0
99;Джалита;Ялта;0
100;Сигма;Нью-Йорк;0
101;Славяне;Днепропетровск;1
102;НИКАкие;Нижний Тагил;0
103;Незнайка-2;Хайфа;0
104;Моржовый;Архангельск;0
105;Sally Urman;Тель-Авив;1
106;Н8;Тель-Авив;0
107;Таки да;Реховот;0
108;Задумчивый жираф;Вашингтон;0
109;IVV;Хайфа;1
110;Дежа вю;Симферополь;0
111;Авось;Ашхабад;0
112;Crazy;Новосибирск;1
113;Разные люди;Тель-Авив;0
114;Новая команда;Тель-Авив;0
115;Тихий омут;Тель-Авив;1
116;Catch-up;Тель-Авив;0
117;Логика смысла;Новосибирск;0
118;Конь в пальто;Хайфа;0
119;Мафиози из Нетании;Нетания;0
121;УАЗ точка РУ;Ульяновск;0
122;Литрус;Висагинас;0
123;Артефакт;Минск;1
124;Львы;Могилёв;0
126;Йоужики;Минск;1
127;Энигма;Москва;1
128;МК ФРИ;Новополоцк;0
129;Эмси-Эмси;Хельсинки;1
130;Столичные лобстеры;Эспоо;1
131;Склочные пузырьки;Хельсинки;0
132;Седьмой этаж;Хельсинки;1
133;Дети капитана Врунгеля;Хельсинки;1
134;Трутни;Анапа;1
135;Game Over;Долгопрудный;0
136;Литр;Москва;0
137;Феникс;Днепропетровск;1
138;Нонсенс;Пало-Альто;0
139;Славянский прорыв;Симферополь;0
